,aisuite_Claude-3.5-Sonnet,together_Llama-3.3-70B-It,together_Mistral-Small-3-24B-It,together_Gemma-2-9B-It
108,"{""scaled_score"": 0.66, ""logical_equivalence"": 3, ""signal_behavior"": 3, ""edge_case_handling"": 4, ""code_modularity"": 4, ""resource_efficiency"": 4, ""timing_pipeline_depth"": 3}","{""scaled_score"": 0.66, ""logical_equivalence"": 3, ""signal_behavior"": 3, ""edge_case_handling"": 3, ""code_modularity"": 4, ""resource_efficiency"": 4, ""timing_pipeline_depth"": 4}","{""scaled_score"": 0.46, ""logical_equivalence"": 2, ""signal_behavior"": 2, ""edge_case_handling"": 2, ""code_modularity"": 3, ""resource_efficiency"": 3, ""timing_pipeline_depth"": 3}","{""scaled_score"": 0.43, ""logical_equivalence"": 2, ""signal_behavior"": 2, ""edge_case_handling"": 2, ""code_modularity"": 3, ""resource_efficiency"": 2, ""timing_pipeline_depth"": 2}"
109,"{""scaled_score"": 1.0, ""logical_equivalence"": 5, ""signal_behavior"": 5, ""edge_case_handling"": 5, ""code_modularity"": 5, ""resource_efficiency"": 5, ""timing_pipeline_depth"": 5}","{""scaled_score"": 0.8, ""logical_equivalence"": 4, ""signal_behavior"": 4, ""edge_case_handling"": 4, ""code_modularity"": 4, ""resource_efficiency"": 4, ""timing_pipeline_depth"": 4}","{""scaled_score"": 1.0, ""logical_equivalence"": 5, ""signal_behavior"": 5, ""edge_case_handling"": 5, ""code_modularity"": 5, ""resource_efficiency"": 5, ""timing_pipeline_depth"": 5}","{""scaled_score"": 0.6, ""logical_equivalence"": 3, ""signal_behavior"": 3, ""edge_case_handling"": 2, ""code_modularity"": 3, ""resource_efficiency"": 4, ""timing_pipeline_depth"": 3}"
110,"{""scaled_score"": 0.78, ""logical_equivalence"": 4, ""signal_behavior"": 4, ""edge_case_handling"": 3, ""code_modularity"": 4, ""resource_efficiency"": 4, ""timing_pipeline_depth"": 4}","{""scaled_score"": 0.58, ""logical_equivalence"": 3, ""signal_behavior"": 3, ""edge_case_handling"": 2, ""code_modularity"": 3, ""resource_efficiency"": 3, ""timing_pipeline_depth"": 3}","{""scaled_score"": 0.45, ""logical_equivalence"": 2, ""signal_behavior"": 2, ""edge_case_handling"": 2, ""code_modularity"": 3, ""resource_efficiency"": 3, ""timing_pipeline_depth"": 2}","{""scaled_score"": 0.34, ""logical_equivalence"": 2, ""signal_behavior"": 2, ""edge_case_handling"": 1, ""code_modularity"": 2, ""resource_efficiency"": 1, ""timing_pipeline_depth"": 1}"
111,"{""scaled_score"": 0.62, ""logical_equivalence"": 3, ""signal_behavior"": 3, ""edge_case_handling"": 3, ""code_modularity"": 4, ""resource_efficiency"": 3, ""timing_pipeline_depth"": 3}","{""scaled_score"": 0.54, ""logical_equivalence"": 3, ""signal_behavior"": 3, ""edge_case_handling"": 2, ""code_modularity"": 3, ""resource_efficiency"": 2, ""timing_pipeline_depth"": 2}","{""scaled_score"": 0.45, ""logical_equivalence"": 2, ""signal_behavior"": 2, ""edge_case_handling"": 2, ""code_modularity"": 3, ""resource_efficiency"": 3, ""timing_pipeline_depth"": 2}","{""scaled_score"": 0.26, ""logical_equivalence"": 1, ""signal_behavior"": 1, ""edge_case_handling"": 1, ""code_modularity"": 2, ""resource_efficiency"": 2, ""timing_pipeline_depth"": 2}"
112,"{""scaled_score"": 0.9, ""logical_equivalence"": 4, ""signal_behavior"": 5, ""edge_case_handling"": 5, ""code_modularity"": 5, ""resource_efficiency"": 5, ""timing_pipeline_depth"": 5}","{""scaled_score"": 0.86, ""logical_equivalence"": 4, ""signal_behavior"": 4, ""edge_case_handling"": 4, ""code_modularity"": 5, ""resource_efficiency"": 5, ""timing_pipeline_depth"": 5}","{""scaled_score"": 0.78, ""logical_equivalence"": 4, ""signal_behavior"": 3, ""edge_case_handling"": 4, ""code_modularity"": 4, ""resource_efficiency"": 5, ""timing_pipeline_depth"": 3}","{""scaled_score"": 0.8, ""logical_equivalence"": 4, ""signal_behavior"": 4, ""edge_case_handling"": 3, ""code_modularity"": 4, ""resource_efficiency"": 5, ""timing_pipeline_depth"": 4}"
113,"{""scaled_score"": 0.96, ""logical_equivalence"": 5, ""signal_behavior"": 5, ""edge_case_handling"": 5, ""code_modularity"": 3, ""resource_efficiency"": 5, ""timing_pipeline_depth"": 5}","{""scaled_score"": 0.99, ""logical_equivalence"": 5, ""signal_behavior"": 5, ""edge_case_handling"": 5, ""code_modularity"": 5, ""resource_efficiency"": 4, ""timing_pipeline_depth"": 5}","{""scaled_score"": 0.96, ""logical_equivalence"": 5, ""signal_behavior"": 5, ""edge_case_handling"": 5, ""code_modularity"": 3, ""resource_efficiency"": 5, ""timing_pipeline_depth"": 5}","{""scaled_score"": 1.0, ""logical_equivalence"": 5, ""signal_behavior"": 5, ""edge_case_handling"": 5, ""code_modularity"": 5, ""resource_efficiency"": 5, ""timing_pipeline_depth"": 5}"
114,"{""scaled_score"": 0.78, ""logical_equivalence"": 4, ""signal_behavior"": 4, ""edge_case_handling"": 4, ""code_modularity"": 3, ""resource_efficiency"": 4, ""timing_pipeline_depth"": 4}","{""scaled_score"": 0.45, ""logical_equivalence"": 2, ""signal_behavior"": 2, ""edge_case_handling"": 2, ""code_modularity"": 3, ""resource_efficiency"": 3, ""timing_pipeline_depth"": 2}","{""scaled_score"": 0.4, ""logical_equivalence"": 2, ""signal_behavior"": 2, ""edge_case_handling"": 2, ""code_modularity"": 2, ""resource_efficiency"": 2, ""timing_pipeline_depth"": 2}","{""scaled_score"": 0.4, ""logical_equivalence"": 2, ""signal_behavior"": 2, ""edge_case_handling"": 2, ""code_modularity"": 2, ""resource_efficiency"": 2, ""timing_pipeline_depth"": 2}"
115,"{""scaled_score"": 0.58, ""logical_equivalence"": 3, ""signal_behavior"": 3, ""edge_case_handling"": 2, ""code_modularity"": 3, ""resource_efficiency"": 3, ""timing_pipeline_depth"": 3}","{""scaled_score"": 0.4, ""logical_equivalence"": 2, ""signal_behavior"": 2, ""edge_case_handling"": 1, ""code_modularity"": 2, ""resource_efficiency"": 3, ""timing_pipeline_depth"": 2}","{""scaled_score"": 0.4, ""logical_equivalence"": 2, ""signal_behavior"": 2, ""edge_case_handling"": 1, ""code_modularity"": 3, ""resource_efficiency"": 2, ""timing_pipeline_depth"": 2}","{""scaled_score"": 0.4, ""logical_equivalence"": 2, ""signal_behavior"": 2, ""edge_case_handling"": 1, ""code_modularity"": 3, ""resource_efficiency"": 2, ""timing_pipeline_depth"": 2}"
116,"{""scaled_score"": 0.58, ""logical_equivalence"": 3, ""signal_behavior"": 3, ""edge_case_handling"": 2, ""code_modularity"": 3, ""resource_efficiency"": 3, ""timing_pipeline_depth"": 3}","{""scaled_score"": 0.43, ""logical_equivalence"": 2, ""signal_behavior"": 2, ""edge_case_handling"": 1, ""code_modularity"": 3, ""resource_efficiency"": 3, ""timing_pipeline_depth"": 2}","{""scaled_score"": 0.34, ""logical_equivalence"": 2, ""signal_behavior"": 2, ""edge_case_handling"": 1, ""code_modularity"": 2, ""resource_efficiency"": 1, ""timing_pipeline_depth"": 1}","{""scaled_score"": 0.58, ""logical_equivalence"": 3, ""signal_behavior"": 3, ""edge_case_handling"": 2, ""code_modularity"": 3, ""resource_efficiency"": 3, ""timing_pipeline_depth"": 3}"
117,"{""scaled_score"": 1.0, ""logical_equivalence"": 5, ""signal_behavior"": 5, ""edge_case_handling"": 5, ""code_modularity"": 5, ""resource_efficiency"": 5, ""timing_pipeline_depth"": 5}","{""scaled_score"": 1.0, ""logical_equivalence"": 5, ""signal_behavior"": 5, ""edge_case_handling"": 5, ""code_modularity"": 5, ""resource_efficiency"": 5, ""timing_pipeline_depth"": 5}","{""scaled_score"": 1.0, ""logical_equivalence"": 5, ""signal_behavior"": 5, ""edge_case_handling"": 5, ""code_modularity"": 5, ""resource_efficiency"": 5, ""timing_pipeline_depth"": 5}","{""scaled_score"": 0.94, ""logical_equivalence"": 5, ""signal_behavior"": 5, ""edge_case_handling"": 5, ""code_modularity"": 3, ""resource_efficiency"": 4, ""timing_pipeline_depth"": 5}"
118,"{""scaled_score"": 0.78, ""logical_equivalence"": 4, ""signal_behavior"": 4, ""edge_case_handling"": 3, ""code_modularity"": 4, ""resource_efficiency"": 4, ""timing_pipeline_depth"": 4}","{""scaled_score"": 0.59, ""logical_equivalence"": 3, ""signal_behavior"": 3, ""edge_case_handling"": 2, ""code_modularity"": 4, ""resource_efficiency"": 3, ""timing_pipeline_depth"": 2}","{""scaled_score"": 0.62, ""logical_equivalence"": 3, ""signal_behavior"": 3, ""edge_case_handling"": 2, ""code_modularity"": 4, ""resource_efficiency"": 4, ""timing_pipeline_depth"": 3}","{""scaled_score"": 0.47, ""logical_equivalence"": 2, ""signal_behavior"": 2, ""edge_case_handling"": 3, ""code_modularity"": 3, ""resource_efficiency"": 3, ""timing_pipeline_depth"": 2}"
119,"{""scaled_score"": 0.58, ""logical_equivalence"": 3, ""signal_behavior"": 3, ""edge_case_handling"": 2, ""code_modularity"": 3, ""resource_efficiency"": 3, ""timing_pipeline_depth"": 3}","{""scaled_score"": 0.58, ""logical_equivalence"": 3, ""signal_behavior"": 3, ""edge_case_handling"": 2, ""code_modularity"": 3, ""resource_efficiency"": 3, ""timing_pipeline_depth"": 3}","{""scaled_score"": 0.58, ""logical_equivalence"": 3, ""signal_behavior"": 3, ""edge_case_handling"": 2, ""code_modularity"": 3, ""resource_efficiency"": 3, ""timing_pipeline_depth"": 3}","{""scaled_score"": 0.56, ""logical_equivalence"": 3, ""signal_behavior"": 3, ""edge_case_handling"": 2, ""code_modularity"": 3, ""resource_efficiency"": 3, ""timing_pipeline_depth"": 2}"
120,"{""scaled_score"": 0.6, ""logical_equivalence"": 3, ""signal_behavior"": 3, ""edge_case_handling"": 3, ""code_modularity"": 3, ""resource_efficiency"": 3, ""timing_pipeline_depth"": 3}","{""scaled_score"": 0.43, ""logical_equivalence"": 2, ""signal_behavior"": 2, ""edge_case_handling"": 2, ""code_modularity"": 2, ""resource_efficiency"": 3, ""timing_pipeline_depth"": 2}","{""scaled_score"": 0.4, ""logical_equivalence"": 2, ""signal_behavior"": 2, ""edge_case_handling"": 2, ""code_modularity"": 2, ""resource_efficiency"": 2, ""timing_pipeline_depth"": 2}","{""scaled_score"": 0.45, ""logical_equivalence"": 2, ""signal_behavior"": 2, ""edge_case_handling"": 3, ""code_modularity"": 2, ""resource_efficiency"": 3, ""timing_pipeline_depth"": 2}"
121,"{""scaled_score"": 0.6, ""logical_equivalence"": 3, ""signal_behavior"": 3, ""edge_case_handling"": 3, ""code_modularity"": 3, ""resource_efficiency"": 3, ""timing_pipeline_depth"": 3}","{""scaled_score"": 0.6, ""logical_equivalence"": 3, ""signal_behavior"": 3, ""edge_case_handling"": 3, ""code_modularity"": 3, ""resource_efficiency"": 3, ""timing_pipeline_depth"": 3}","{""scaled_score"": 0.58, ""logical_equivalence"": 3, ""signal_behavior"": 3, ""edge_case_handling"": 2, ""code_modularity"": 3, ""resource_efficiency"": 3, ""timing_pipeline_depth"": 3}","{""scaled_score"": 0.34, ""logical_equivalence"": 2, ""signal_behavior"": 2, ""edge_case_handling"": 1, ""code_modularity"": 1, ""resource_efficiency"": 2, ""timing_pipeline_depth"": 1}"
122,"{""scaled_score"": 0.82, ""logical_equivalence"": 4, ""signal_behavior"": 4, ""edge_case_handling"": 3, ""code_modularity"": 4, ""resource_efficiency"": 5, ""timing_pipeline_depth"": 5}","{""scaled_score"": 0.6, ""logical_equivalence"": 3, ""signal_behavior"": 3, ""edge_case_handling"": 2, ""code_modularity"": 3, ""resource_efficiency"": 4, ""timing_pipeline_depth"": 3}","{""scaled_score"": 0.6, ""logical_equivalence"": 3, ""signal_behavior"": 3, ""edge_case_handling"": 2, ""code_modularity"": 3, ""resource_efficiency"": 4, ""timing_pipeline_depth"": 3}","{""scaled_score"": 0.76, ""logical_equivalence"": 4, ""signal_behavior"": 4, ""edge_case_handling"": 3, ""code_modularity"": 3, ""resource_efficiency"": 4, ""timing_pipeline_depth"": 4}"
123,"{""scaled_score"": 0.96, ""logical_equivalence"": 5, ""signal_behavior"": 5, ""edge_case_handling"": 5, ""code_modularity"": 3, ""resource_efficiency"": 5, ""timing_pipeline_depth"": 5}","{""scaled_score"": 0.96, ""logical_equivalence"": 5, ""signal_behavior"": 5, ""edge_case_handling"": 5, ""code_modularity"": 3, ""resource_efficiency"": 5, ""timing_pipeline_depth"": 5}","{""scaled_score"": 0.99, ""logical_equivalence"": 5, ""signal_behavior"": 5, ""edge_case_handling"": 5, ""code_modularity"": 4, ""resource_efficiency"": 5, ""timing_pipeline_depth"": 5}","{""scaled_score"": 0.82, ""logical_equivalence"": 4, ""signal_behavior"": 4, ""edge_case_handling"": 5, ""code_modularity"": 4, ""resource_efficiency"": 4, ""timing_pipeline_depth"": 4}"
124,"{""scaled_score"": 0.6, ""logical_equivalence"": 3, ""signal_behavior"": 3, ""edge_case_handling"": 2, ""code_modularity"": 3, ""resource_efficiency"": 4, ""timing_pipeline_depth"": 3}","{""scaled_score"": 0.45, ""logical_equivalence"": 2, ""signal_behavior"": 2, ""edge_case_handling"": 2, ""code_modularity"": 3, ""resource_efficiency"": 3, ""timing_pipeline_depth"": 2}","{""scaled_score"": 0.43, ""logical_equivalence"": 2, ""signal_behavior"": 2, ""edge_case_handling"": 1, ""code_modularity"": 3, ""resource_efficiency"": 3, ""timing_pipeline_depth"": 2}","{""scaled_score"": 0.43, ""logical_equivalence"": 2, ""signal_behavior"": 2, ""edge_case_handling"": 1, ""code_modularity"": 3, ""resource_efficiency"": 3, ""timing_pipeline_depth"": 2}"
125,"{""scaled_score"": 1.0, ""logical_equivalence"": 5, ""signal_behavior"": 5, ""edge_case_handling"": 5, ""code_modularity"": 5, ""resource_efficiency"": 5, ""timing_pipeline_depth"": 5}","{""scaled_score"": 1.0, ""logical_equivalence"": 5, ""signal_behavior"": 5, ""edge_case_handling"": 5, ""code_modularity"": 5, ""resource_efficiency"": 5, ""timing_pipeline_depth"": 5}","{""scaled_score"": 1.0, ""logical_equivalence"": 5, ""signal_behavior"": 5, ""edge_case_handling"": 5, ""code_modularity"": 5, ""resource_efficiency"": 5, ""timing_pipeline_depth"": 5}","{""scaled_score"": 0.6, ""logical_equivalence"": 3, ""signal_behavior"": 3, ""edge_case_handling"": 2, ""code_modularity"": 3, ""resource_efficiency"": 4, ""timing_pipeline_depth"": 3}"
126,"{""scaled_score"": 1.0, ""logical_equivalence"": 5, ""signal_behavior"": 5, ""edge_case_handling"": 5, ""code_modularity"": 5, ""resource_efficiency"": 5, ""timing_pipeline_depth"": 5}","{""scaled_score"": 1.0, ""logical_equivalence"": 5, ""signal_behavior"": 5, ""edge_case_handling"": 5, ""code_modularity"": 5, ""resource_efficiency"": 5, ""timing_pipeline_depth"": 5}","{""scaled_score"": 1.0, ""logical_equivalence"": 5, ""signal_behavior"": 5, ""edge_case_handling"": 5, ""code_modularity"": 5, ""resource_efficiency"": 5, ""timing_pipeline_depth"": 5}","{""scaled_score"": 1.0, ""logical_equivalence"": 5, ""signal_behavior"": 5, ""edge_case_handling"": 5, ""code_modularity"": 5, ""resource_efficiency"": 5, ""timing_pipeline_depth"": 5}"
127,"{""scaled_score"": 0.96, ""logical_equivalence"": 5, ""signal_behavior"": 5, ""edge_case_handling"": 5, ""code_modularity"": 3, ""resource_efficiency"": 5, ""timing_pipeline_depth"": 5}","{""scaled_score"": 0.6, ""logical_equivalence"": 3, ""signal_behavior"": 3, ""edge_case_handling"": 4, ""code_modularity"": 2, ""resource_efficiency"": 3, ""timing_pipeline_depth"": 3}","{""scaled_score"": 0.46, ""logical_equivalence"": 2, ""signal_behavior"": 2, ""edge_case_handling"": 3, ""code_modularity"": 3, ""resource_efficiency"": 2, ""timing_pipeline_depth"": 3}","{""scaled_score"": 0.33, ""logical_equivalence"": 2, ""signal_behavior"": 2, ""edge_case_handling"": 1, ""code_modularity"": 1, ""resource_efficiency"": 1, ""timing_pipeline_depth"": 1}"
128,"{""scaled_score"": 1.0, ""logical_equivalence"": 5, ""signal_behavior"": 5, ""edge_case_handling"": 5, ""code_modularity"": 5, ""resource_efficiency"": 5, ""timing_pipeline_depth"": 5}","{""scaled_score"": 0.53, ""logical_equivalence"": 3, ""signal_behavior"": 3, ""edge_case_handling"": 2, ""code_modularity"": 2, ""resource_efficiency"": 2, ""timing_pipeline_depth"": 2}","{""scaled_score"": 1.0, ""logical_equivalence"": 5, ""signal_behavior"": 5, ""edge_case_handling"": 5, ""code_modularity"": 5, ""resource_efficiency"": 5, ""timing_pipeline_depth"": 5}","{""scaled_score"": 1.0, ""logical_equivalence"": 5, ""signal_behavior"": 5, ""edge_case_handling"": 5, ""code_modularity"": 5, ""resource_efficiency"": 5, ""timing_pipeline_depth"": 5}"
129,"{""scaled_score"": 0.58, ""logical_equivalence"": 2, ""signal_behavior"": 3, ""edge_case_handling"": 3, ""code_modularity"": 4, ""resource_efficiency"": 4, ""timing_pipeline_depth"": 5}","{""scaled_score"": 0.32, ""logical_equivalence"": 1, ""signal_behavior"": 2, ""edge_case_handling"": 2, ""code_modularity"": 2, ""resource_efficiency"": 2, ""timing_pipeline_depth"": 3}","{""scaled_score"": 0.58, ""logical_equivalence"": 2, ""signal_behavior"": 3, ""edge_case_handling"": 3, ""code_modularity"": 4, ""resource_efficiency"": 4, ""timing_pipeline_depth"": 5}","{""scaled_score"": 0.5, ""logical_equivalence"": 2, ""signal_behavior"": 3, ""edge_case_handling"": 2, ""code_modularity"": 3, ""resource_efficiency"": 3, ""timing_pipeline_depth"": 4}"
130,"{""scaled_score"": 0.96, ""logical_equivalence"": 5, ""signal_behavior"": 5, ""edge_case_handling"": 5, ""code_modularity"": 3, ""resource_efficiency"": 5, ""timing_pipeline_depth"": 5}","{""scaled_score"": 0.66, ""logical_equivalence"": 4, ""signal_behavior"": 3, ""edge_case_handling"": 3, ""code_modularity"": 2, ""resource_efficiency"": 2, ""timing_pipeline_depth"": 3}","{""scaled_score"": 0.54, ""logical_equivalence"": 3, ""signal_behavior"": 3, ""edge_case_handling"": 2, ""code_modularity"": 1, ""resource_efficiency"": 3, ""timing_pipeline_depth"": 3}","{""scaled_score"": 0.66, ""logical_equivalence"": 4, ""signal_behavior"": 3, ""edge_case_handling"": 2, ""code_modularity"": 2, ""resource_efficiency"": 3, ""timing_pipeline_depth"": 3}"
131,"{""scaled_score"": 0.89, ""logical_equivalence"": 4, ""signal_behavior"": 5, ""edge_case_handling"": 4, ""code_modularity"": 5, ""resource_efficiency"": 5, ""timing_pipeline_depth"": 5}","{""scaled_score"": 0.82, ""logical_equivalence"": 4, ""signal_behavior"": 4, ""edge_case_handling"": 3, ""code_modularity"": 5, ""resource_efficiency"": 5, ""timing_pipeline_depth"": 4}","{""scaled_score"": 1.0, ""logical_equivalence"": 5, ""signal_behavior"": 5, ""edge_case_handling"": 5, ""code_modularity"": 5, ""resource_efficiency"": 5, ""timing_pipeline_depth"": 5}","{""scaled_score"": 1.0, ""logical_equivalence"": 5, ""signal_behavior"": 5, ""edge_case_handling"": 5, ""code_modularity"": 5, ""resource_efficiency"": 5, ""timing_pipeline_depth"": 5}"
132,"{""scaled_score"": 0.66, ""logical_equivalence"": 3, ""signal_behavior"": 3, ""edge_case_handling"": 3, ""code_modularity"": 4, ""resource_efficiency"": 4, ""timing_pipeline_depth"": 4}","{""scaled_score"": 0.46, ""logical_equivalence"": 2, ""signal_behavior"": 2, ""edge_case_handling"": 2, ""code_modularity"": 3, ""resource_efficiency"": 3, ""timing_pipeline_depth"": 3}","{""scaled_score"": 0.46, ""logical_equivalence"": 2, ""signal_behavior"": 2, ""edge_case_handling"": 2, ""code_modularity"": 3, ""resource_efficiency"": 3, ""timing_pipeline_depth"": 3}","{""scaled_score"": 0.46, ""logical_equivalence"": 2, ""signal_behavior"": 2, ""edge_case_handling"": 2, ""code_modularity"": 3, ""resource_efficiency"": 3, ""timing_pipeline_depth"": 3}"
133,"{""scaled_score"": 0.99, ""logical_equivalence"": 5, ""signal_behavior"": 5, ""edge_case_handling"": 5, ""code_modularity"": 4, ""resource_efficiency"": 5, ""timing_pipeline_depth"": 5}","{""scaled_score"": 0.96, ""logical_equivalence"": 5, ""signal_behavior"": 5, ""edge_case_handling"": 5, ""code_modularity"": 3, ""resource_efficiency"": 5, ""timing_pipeline_depth"": 5}","{""scaled_score"": 0.96, ""logical_equivalence"": 5, ""signal_behavior"": 5, ""edge_case_handling"": 5, ""code_modularity"": 3, ""resource_efficiency"": 5, ""timing_pipeline_depth"": 5}","{""scaled_score"": 0.96, ""logical_equivalence"": 5, ""signal_behavior"": 5, ""edge_case_handling"": 5, ""code_modularity"": 3, ""resource_efficiency"": 5, ""timing_pipeline_depth"": 5}"
134,"{""scaled_score"": 0.74, ""logical_equivalence"": 4, ""signal_behavior"": 4, ""edge_case_handling"": 3, ""code_modularity"": 3, ""resource_efficiency"": 4, ""timing_pipeline_depth"": 3}","{""scaled_score"": 0.78, ""logical_equivalence"": 4, ""signal_behavior"": 4, ""edge_case_handling"": 4, ""code_modularity"": 3, ""resource_efficiency"": 4, ""timing_pipeline_depth"": 4}","{""scaled_score"": 0.78, ""logical_equivalence"": 4, ""signal_behavior"": 4, ""edge_case_handling"": 4, ""code_modularity"": 3, ""resource_efficiency"": 4, ""timing_pipeline_depth"": 4}","{""scaled_score"": 0.24, ""logical_equivalence"": 1, ""signal_behavior"": 1, ""edge_case_handling"": 1, ""code_modularity"": 2, ""resource_efficiency"": 2, ""timing_pipeline_depth"": 1}"
135,"{""scaled_score"": 0.45, ""logical_equivalence"": 2, ""signal_behavior"": 2, ""edge_case_handling"": 3, ""code_modularity"": 3, ""resource_efficiency"": 2, ""timing_pipeline_depth"": 2}","{""scaled_score"": 0.45, ""logical_equivalence"": 2, ""signal_behavior"": 2, ""edge_case_handling"": 3, ""code_modularity"": 3, ""resource_efficiency"": 2, ""timing_pipeline_depth"": 2}","{""scaled_score"": 0.18, ""logical_equivalence"": 1, ""signal_behavior"": 1, ""edge_case_handling"": 1, ""code_modularity"": 1, ""resource_efficiency"": 0, ""timing_pipeline_depth"": 1}","{""scaled_score"": 0.45, ""logical_equivalence"": 2, ""signal_behavior"": 2, ""edge_case_handling"": 3, ""code_modularity"": 3, ""resource_efficiency"": 2, ""timing_pipeline_depth"": 2}"
136,"{""scaled_score"": 0.6, ""logical_equivalence"": 3, ""signal_behavior"": 3, ""edge_case_handling"": 3, ""code_modularity"": 3, ""resource_efficiency"": 3, ""timing_pipeline_depth"": 3}","{""scaled_score"": 0.58, ""logical_equivalence"": 3, ""signal_behavior"": 3, ""edge_case_handling"": 2, ""code_modularity"": 3, ""resource_efficiency"": 3, ""timing_pipeline_depth"": 3}","{""scaled_score"": 0.86, ""logical_equivalence"": 4, ""signal_behavior"": 4, ""edge_case_handling"": 4, ""code_modularity"": 5, ""resource_efficiency"": 5, ""timing_pipeline_depth"": 5}","{""scaled_score"": 0.6, ""logical_equivalence"": 3, ""signal_behavior"": 3, ""edge_case_handling"": 2, ""code_modularity"": 4, ""resource_efficiency"": 3, ""timing_pipeline_depth"": 3}"
137,"{""scaled_score"": 0.8, ""logical_equivalence"": 4, ""signal_behavior"": 4, ""edge_case_handling"": 4, ""code_modularity"": 4, ""resource_efficiency"": 4, ""timing_pipeline_depth"": 4}","{""scaled_score"": 0.2, ""logical_equivalence"": 1, ""signal_behavior"": 1, ""edge_case_handling"": 1, ""code_modularity"": 1, ""resource_efficiency"": 1, ""timing_pipeline_depth"": 1}","{""scaled_score"": 0.6, ""logical_equivalence"": 3, ""signal_behavior"": 3, ""edge_case_handling"": 3, ""code_modularity"": 3, ""resource_efficiency"": 3, ""timing_pipeline_depth"": 3}","{""scaled_score"": 0.4, ""logical_equivalence"": 2, ""signal_behavior"": 2, ""edge_case_handling"": 2, ""code_modularity"": 2, ""resource_efficiency"": 2, ""timing_pipeline_depth"": 2}"
138,"{""scaled_score"": 1.0, ""logical_equivalence"": 5, ""signal_behavior"": 5, ""edge_case_handling"": 5, ""code_modularity"": 5, ""resource_efficiency"": 5, ""timing_pipeline_depth"": 5}","{""scaled_score"": 0.93, ""logical_equivalence"": 5, ""signal_behavior"": 5, ""edge_case_handling"": 5, ""code_modularity"": 3, ""resource_efficiency"": 4, ""timing_pipeline_depth"": 4}","{""scaled_score"": 1.0, ""logical_equivalence"": 5, ""signal_behavior"": 5, ""edge_case_handling"": 5, ""code_modularity"": 5, ""resource_efficiency"": 5, ""timing_pipeline_depth"": 5}","{""scaled_score"": 1.0, ""logical_equivalence"": 5, ""signal_behavior"": 5, ""edge_case_handling"": 5, ""code_modularity"": 5, ""resource_efficiency"": 5, ""timing_pipeline_depth"": 5}"
139,"{""scaled_score"": 0.82, ""logical_equivalence"": 4, ""signal_behavior"": 5, ""edge_case_handling"": 3, ""code_modularity"": 3, ""resource_efficiency"": 5, ""timing_pipeline_depth"": 5}","{""scaled_score"": 0.56, ""logical_equivalence"": 3, ""signal_behavior"": 3, ""edge_case_handling"": 2, ""code_modularity"": 2, ""resource_efficiency"": 3, ""timing_pipeline_depth"": 3}","{""scaled_score"": 0.8, ""logical_equivalence"": 4, ""signal_behavior"": 4, ""edge_case_handling"": 3, ""code_modularity"": 3, ""resource_efficiency"": 5, ""timing_pipeline_depth"": 5}","{""scaled_score"": 0.76, ""logical_equivalence"": 4, ""signal_behavior"": 4, ""edge_case_handling"": 3, ""code_modularity"": 3, ""resource_efficiency"": 4, ""timing_pipeline_depth"": 4}"
140,"{""scaled_score"": 0.44, ""logical_equivalence"": 1, ""signal_behavior"": 2, ""edge_case_handling"": 3, ""code_modularity"": 4, ""resource_efficiency"": 4, ""timing_pipeline_depth"": 4}","{""scaled_score"": 0.38, ""logical_equivalence"": 1, ""signal_behavior"": 2, ""edge_case_handling"": 3, ""code_modularity"": 3, ""resource_efficiency"": 3, ""timing_pipeline_depth"": 3}","{""scaled_score"": 0.4, ""logical_equivalence"": 1, ""signal_behavior"": 2, ""edge_case_handling"": 3, ""code_modularity"": 3, ""resource_efficiency"": 3, ""timing_pipeline_depth"": 4}","{""scaled_score"": 0.38, ""logical_equivalence"": 1, ""signal_behavior"": 2, ""edge_case_handling"": 3, ""code_modularity"": 3, ""resource_efficiency"": 3, ""timing_pipeline_depth"": 3}"
141,"{""scaled_score"": 1.0, ""logical_equivalence"": 5, ""signal_behavior"": 5, ""edge_case_handling"": 5, ""code_modularity"": 5, ""resource_efficiency"": 5, ""timing_pipeline_depth"": 5}","{""scaled_score"": 1.0, ""logical_equivalence"": 5, ""signal_behavior"": 5, ""edge_case_handling"": 5, ""code_modularity"": 5, ""resource_efficiency"": 5, ""timing_pipeline_depth"": 5}","{""scaled_score"": 1.0, ""logical_equivalence"": 5, ""signal_behavior"": 5, ""edge_case_handling"": 5, ""code_modularity"": 5, ""resource_efficiency"": 5, ""timing_pipeline_depth"": 5}","{""scaled_score"": 0.56, ""logical_equivalence"": 3, ""signal_behavior"": 3, ""edge_case_handling"": 2, ""code_modularity"": 2, ""resource_efficiency"": 3, ""timing_pipeline_depth"": 3}"
